Date,Actual,Predicted,Lower_90,Upper_90
2020-12-31,162.84649658203125,149.5437469482422,144.01357126989214,155.07392262659224
2021-01-04,159.3314971923828,149.48548889160156,143.95531321325151,155.0156645699516
2021-01-05,160.92550659179688,148.7891387939453,143.25896311559526,154.31931447229536
2021-01-06,156.91900634765625,148.50181579589844,142.9716401175484,154.03199147424849
2021-01-07,158.10800170898438,147.60064697265625,142.0704712943062,153.1308226510063
2021-01-08,159.13499450683594,147.13720703125,141.60703135289995,152.66738270960005
2021-01-11,155.7104949951172,147.0728759765625,141.54270029821245,152.60305165491255
2021-01-12,156.04150390625,146.39540100097656,140.86522532262651,151.9255766793266
2021-01-13,158.29449462890625,145.9368438720703,140.40666819372026,151.46701955042036
2021-01-14,156.37350463867188,146.11038208007812,140.58020640172808,151.64055775842817
2021-01-15,155.21249389648438,145.9095916748047,140.37941599645464,151.43976735315474
2021-01-19,156.03799438476562,145.5006866455078,139.97051096715776,151.03086232385786
2021-01-20,163.16900634765625,145.36508178710938,139.83490610875933,150.89525746545942
2021-01-21,165.34950256347656,146.77239990234375,141.2422242239937,152.3025755806938
2021-01-22,164.6114959716797,148.2158203125,142.68564463414995,153.74599599085005
2021-01-25,164.6999969482422,149.02484130859375,143.4946656302437,154.5550169869438
2021-01-26,166.30650329589844,149.509765625,143.97958994664995,155.03994130335005
2021-01-27,161.62899780273438,150.04042053222656,144.51024485387651,155.5705962105766
2021-01-28,161.88099670410156,149.63510131835938,144.10492564000933,155.16527699670942
2021-01-29,160.30999755859375,149.28436279296875,143.7541871146187,154.8145384713188
2021-02-01,167.1439971923828,148.7705078125,143.24033213414995,154.30068349085005
2021-02-02,169.0,149.56121826171875,144.0310425833687,155.0913939400688
2021-02-03,165.62649536132812,150.48895263671875,144.9587769583687,156.0191283150688
2021-02-04,166.5500030517578,150.60682678222656,145.07665110387651,156.1370024605766
2021-02-05,167.6074981689453,150.7513427734375,145.22116709508745,156.28151845178755
2021-02-08,166.14700317382812,150.99363708496094,145.4634614066109,156.52381276331099
2021-02-09,165.25,150.94363403320312,145.41345835485308,156.47380971155317
2021-02-10,164.32899475097656,150.74412536621094,145.2139496878609,156.27430104456099
2021-02-11,163.10650634765625,150.44778442382812,144.91760874547808,155.97796010217817
2021-02-12,163.885498046875,150.03713989257812,144.50696421422808,155.56731557092817
2021-02-16,163.44749450683594,149.86965942382812,144.33948374547808,155.39983510217817
2021-02-17,165.4320068359375,149.71475219726562,144.18457651891558,155.24492787561567
2021-02-18,166.4114990234375,149.9342041015625,144.40402842321245,155.46437977991255
