RMSE,MAE,MAPE,R2,DA,Model,Ticker,model_key,Coverage_90pct,Avg_Width_USD
12.711848324351076,11.142287967441316,5.49954814748742,0.7273818798709712,53.27313769751692,VanillaRNN,AAPL,vanilla_rnn,,
52.11418087160199,51.13575225692612,26.50157353414501,-3.5819373429768016,53.04740406320542,StackedLSTM,AAPL,lstm,,
9.212767203577467,8.428651242642792,4.401765726277909,0.8568084110085488,51.91873589164786,StackedGRU,AAPL,gru,,
23.50384521796653,19.56562376090423,10.1135409028667,0.0680016337593867,50.79006772009029,"ARIMA(5,1,0)",AAPL,arima,,
31.476308046107725,28.647964546272352,7.316078041686072,0.5917533614203401,47.62979683972912,VanillaRNN,MSFT,vanilla_rnn,,
25.13758857640069,22.105954831784903,6.039260689171779,0.739623208250265,52.144469525959366,StackedLSTM,MSFT,lstm,,
43.164055543126906,37.06802457517332,9.321450822131814,0.2322858786474652,50.79006772009029,StackedGRU,MSFT,gru,,
37.471095752440256,31.05244754708581,8.645136827549976,0.421440765230329,48.30699774266365,"ARIMA(5,1,0)",MSFT,arima,,
9.498952230523583,7.454250713726422,4.680084390254358,0.8315355724177693,47.85553047404064,VanillaRNN,GOOGL,vanilla_rnn,,
10.048178596666864,7.6287638518187375,5.369126020790146,0.8114912582642709,51.91873589164786,StackedLSTM,GOOGL,lstm,,
32.68149024883237,31.17019423063811,20.96891629857411,-0.994162324417236,47.62979683972912,StackedGRU,GOOGL,gru,,
18.441930623575512,15.539772802190972,10.530748104088511,0.3650060738612947,51.69300225733634,"ARIMA(5,1,0)",GOOGL,arima,,
9.892298944293758,7.694909740138698,4.331115008130586,0.9044527251365144,46.27539503386004,VanillaRNN,AMZN,vanilla_rnn,,
7.714333792773039,6.61566534987441,4.37137532859527,0.9418940383069506,48.53273137697517,StackedLSTM,AMZN,lstm,,
30.88657828634258,29.390564085127,18.419031305402093,0.0685416562797757,47.17832957110609,StackedGRU,AMZN,gru,,
20.907977713654702,17.537247210270476,11.059509731012293,0.5731769179714695,47.85553047404064,"ARIMA(5,1,0)",AMZN,arima,,
18.542078342756582,14.575616750631244,6.024492725287664,0.8958492303298132,49.43566591422122,VanillaRNN,TSLA,vanilla_rnn,,
91.5536519202676,85.11732474318495,35.92409279116229,-1.539200557906625,46.72686230248307,StackedLSTM,TSLA,lstm,,
41.72909130343723,30.087612134916288,12.023170275089951,0.4724987228224183,50.33860045146727,StackedGRU,TSLA,gru,,
64.6235795895415,48.85655029876568,20.153436573328825,-0.2651082310845505,48.081264108352144,"ARIMA(5,1,0)",TSLA,arima,,
26.60274725705649,18.72684431935216,17.549135369643384,0.5340545849650993,52.59593679458239,VanillaRNN,NVDA,vanilla_rnn,,
21.093344419258344,14.406145100121025,13.69504709133103,0.7070638605197296,50.79006772009029,StackedLSTM,NVDA,lstm,,
25.998726765967707,23.742826294254613,31.746461248624986,0.5549731385641079,50.56433408577878,StackedGRU,NVDA,gru,,
21.36061805925644,17.50803154352127,23.132179961299368,0.6995932443095249,53.49887133182845,"ARIMA(5,1,0)",NVDA,arima,,
37.07114589074104,28.2249393634968,5.902342981510452,0.906035967041418,47.17832957110609,VanillaRNN,META,vanilla_rnn,,
216.8946490716845,196.41304445696304,44.872344383633134,-2.216527754200502,49.20993227990971,StackedLSTM,META,lstm,,
184.7632376347997,171.76405454755903,40.26444694841977,-1.334106968262701,49.66139954853273,StackedGRU,META,gru,,
74.8457134420006,60.48913595188253,15.93955615746225,0.6169782003660016,47.85553047404064,"ARIMA(5,1,0)",META,arima,,
15.321593952310325,9.459781809970066,6.0718522572650055,0.8582640648199025,53.04740406320542,VanillaRNN,AVGO,vanilla_rnn,,
61.38044658580458,54.427661483352246,42.71562029183525,-1.274742092988077,47.40406320541761,StackedLSTM,AVGO,lstm,,
20.67454309962877,19.040467709034413,16.414282063901236,0.7419261995203801,48.98419864559819,StackedGRU,AVGO,gru,,
22.729518028979403,18.088789974583985,14.839273605510456,0.6880733149698912,51.24153498871332,"ARIMA(5,1,0)",AVGO,arima,,
19.069270588753163,15.48525028400593,11.397341357901626,0.4550140968339942,49.66139954853273,VanillaRNN,ORCL,vanilla_rnn,,
13.078134871325949,8.418215399389869,5.834552244347716,0.7436645154757451,48.081264108352144,StackedLSTM,ORCL,lstm,,
16.470341560697456,14.607428456211949,11.295421916652913,0.593442181514567,49.887133182844245,StackedGRU,ORCL,gru,,
19.45516354834033,15.385000815745688,11.73629252703145,0.4327338381124904,49.66139954853273,"ARIMA(5,1,0)",ORCL,arima,,
7.058547991857641,5.843052477449985,4.1469342245463965,0.9397543473681064,49.20993227990971,VanillaRNN,AMD,vanilla_rnn,,
15.28686815776114,11.568123035602742,7.714815761515159,0.7174261234376946,49.43566591422122,StackedLSTM,AMD,lstm,,
12.642090351931472,10.93574570320748,8.350899565752572,0.806744105430002,49.66139954853273,StackedGRU,AMD,gru,,
29.55320579747925,23.53901249875407,16.845958044141057,-0.056097867691649,47.40406320541761,"ARIMA(5,1,0)",AMD,arima,,
43.67516641277947,36.64157565005191,17.76865076455703,-2.21815124498239,51.0158013544018,SlimLSTM,AAPL,slim_lstm,,
107.99447669275992,97.40669649141329,24.68204483785761,-3.805716335710449,51.46726862302483,SlimLSTM,MSFT,slim_lstm,,
19.664274400470376,13.974467578234972,8.46262549024038,0.278040799998615,46.72686230248307,SlimLSTM,GOOGL,slim_lstm,,
14.8613658542078,9.998350727665532,5.433097568301851,0.784354057116247,46.72686230248307,SlimLSTM,AMZN,slim_lstm,,
23.67229315038104,14.256436081619947,5.436616517485412,0.8302435357400112,50.11286681715576,SlimLSTM,TSLA,slim_lstm,,
63.063520310466615,49.98046661497237,52.82553805368976,-1.618415035005652,49.66139954853273,SlimLSTM,NVDA,slim_lstm,,
121.65790416317344,94.76579418697872,19.739071118748203,-0.0119761759207184,49.20993227990971,SlimLSTM,META,slim_lstm,,
70.73427761368617,58.79327781780346,43.10545702005028,-2.0208692013439453,51.91873589164786,SlimLSTM,AVGO,slim_lstm,,
58.96112932912674,52.96376721493833,40.57270168855903,-4.210131596232483,49.20993227990971,SlimLSTM,ORCL,slim_lstm,,
14.766150534639026,10.131487683132962,6.58348067827844,0.7363489211739811,51.46726862302483,SlimLSTM,AMD,slim_lstm,,
56.40206205420785,50.9867603198902,25.277025782422022,-4.366946650057891,51.24153498871332,QuantileLSTM,AAPL,quantile_lstm,87.61261261261262,167.74644145243877
79.8731699369011,68.99543384173968,17.253668820747453,-1.6287959985803369,48.081264108352144,QuantileLSTM,MSFT,quantile_lstm,88.51351351351352,226.99497733932364
18.984121871166085,13.57385033959741,8.245417761224875,0.3271196748907725,49.20993227990971,QuantileLSTM,GOOGL,quantile_lstm,75.0,39.11773300170898
22.81772068172153,16.624276015135617,9.052193801874951,0.4916435251457005,47.85553047404064,QuantileLSTM,AMZN,quantile_lstm,61.26126126126125,31.52292251586914
33.327477489805645,17.75436525087099,6.466262989947007,0.6635267462722836,51.0158013544018,QuantileLSTM,TSLA,quantile_lstm,96.84684684684684,132.66525268554688
