train_loss,val_loss
0.03915999562445062,0.642213856180509
0.17746788021866922,0.22467970351378122
0.1711370947736281,0.17580394508937994
0.12384338176774758,0.1386499839524428
0.12072434614377993,0.06038102818032106
0.10089070235672234,0.05845113145187497
0.10119080882416004,0.042197721816288926
0.0904946455783728,0.04262685325617591
0.08814886165351642,0.05463262492169937
0.07553950077164229,0.03239128148804108
0.08168414684823128,0.030912840894112985
0.06653303959130964,0.056785722030326724
0.06143684765427477,0.09403318477173646
0.054445147359122835,0.12552705965936184
0.05188232702979197,0.1690075471997261
0.05034911410055227,0.20209748360017935
0.0455150939869108,0.349642055730025
0.04856631024395702,0.18371513361732164
0.02944997289321489,0.22825202097495398
0.028022145128084555,0.10484181965390842
0.026080938808499248,0.15261668742944798
0.015004402371468368,0.11887988510231177
0.01213172978842286,0.19878891110420227
0.012837795661417422,0.1519296901921431
0.011141074187536206,0.15556886978447437
0.01008454138516552,0.1239772830158472
