Date,Actual,Mean_Pred,Lower_90,Upper_90,Std_Pred,Lower_90_raw,Upper_90_raw
2023-03-27,269.4027099609375,219.27753,-34.68103552036456,473.23608923130206,13.52295,197.88487,242.58171
2023-03-28,268.2817077636719,221.3989,-32.559667112161435,475.3574576395052,15.625706,194.44443,245.70244
2023-03-29,273.428466796875,219.17215,-34.786412717630185,473.13071203403643,15.158132,193.2581,244.85254
2023-03-30,276.87902832031256,220.49309,-33.46547460727862,474.451650144388,14.782439,195.16096,243.38525
2023-03-31,281.0217590332031,218.78745,-35.171117307473935,472.7460074441927,14.675551,193.01015,240.29773
2023-04-03,279.9787902832031,221.06909,-32.88947057895831,475.0276541727083,15.003106,195.88887,244.22356
2023-04-04,279.92999267578125,221.40047,-32.558095456888,475.3590292947786,14.676941,196.08493,244.64375
2023-04-05,277.1617126464844,221.16998,-32.78857946567706,475.12854528598956,14.038003,195.40984,243.63051
2023-04-06,284.2384948730469,221.44269,-32.51587438755206,475.40125036411456,13.41231,198.53049,243.42648
2023-04-10,282.0842590332032,220.56265,-33.395909787942685,474.52121496372393,14.230869,195.45944,244.01578
2023-04-11,275.6898193359375,221.68729,-32.271275998880185,475.64584875278643,14.871906,196.72842,245.85666
2023-04-12,276.3332214355469,220.68524,-33.27332067661456,474.64380407505206,15.257003,195.46143,247.89378
2023-04-13,282.5228576660156,219.29605,-34.662511350442685,473.25461340122393,14.149642,195.69292,239.73744
2023-04-14,278.91632080078125,221.26259,-32.69597387485675,475.2211508768099,14.817994,197.13322,245.33084
2023-04-17,281.5090942382813,220.49582,-33.462743284036435,474.4543814676302,16.110744,190.65207,243.86479
2023-04-18,281.0899963378906,220.9282,-33.03035497837237,474.88676977329425,15.4964485,194.36029,243.90839
2023-04-19,281.16796875000006,219.74413,-34.21443700962237,473.70268774204425,14.805541,194.75348,242.1487
2023-04-20,278.8870849609375,219.1056,-34.85295629673175,473.0641684549349,15.02524,194.74713,242.67845
2023-04-21,278.5459289550781,221.79068,-32.167882444192685,475.74924230747393,14.291942,199.34212,245.25885
2023-04-24,274.6566162109375,221.05992,-32.89864111118487,475.01848364048175,15.589518,195.20703,244.65224
2023-04-25,268.4669494628907,222.58908,-31.369481565286435,476.5476431863802,14.775495,197.36235,242.70467
2023-04-26,287.91326904296875,221.7653,-32.19325781040362,475.723866941263,15.090541,196.77983,242.90073
2023-04-27,297.13446044921875,220.6548,-33.30376196079425,474.6133627908724,15.51853,191.1624,243.37892
2023-04-28,299.50317382812494,219.29027,-34.66829443149737,473.24883032016925,14.246465,197.81628,242.59396
2023-05-01,297.8460693359375,219.79396,-34.16460180454425,473.7525229471224,13.6649685,195.47096,238.42111
2023-05-02,297.6998291015625,224.07184,-29.88672399692706,478.03040075473956,13.525399,199.15108,245.00798
2023-05-03,296.7153625488281,221.56795,-32.390614988138,475.5265097635286,14.1162615,196.37407,243.5106
2023-05-04,297.6998291015625,221.30894,-32.64961767368487,475.26750707798175,15.426423,195.2531,244.31033
2023-05-05,302.8075561523437,218.7396,-35.218968869973935,472.6981558816927,14.810153,192.69318,239.61487
2023-05-08,300.85797119140625,221.65767,-32.3008933084505,475.6162314432161,12.415213,202.95197,241.71977
2023-05-09,299.2496643066406,220.16801,-33.79054784946612,474.1265769022005,15.271919,196.089,245.10413
2023-05-10,304.42559814453125,220.71712,-33.241445066263,474.6756796854036,14.082372,195.38603,241.97253
2023-05-11,302.2811889648437,219.60852,-34.35004186802081,473.5670828836458,15.151821,196.69864,244.13303
2023-05-12,301.1700134277344,221.47757,-32.480992795755185,475.43613195591143,15.003111,197.00696,244.2634
2023-05-15,301.6475524902344,220.68225,-33.27631139927081,474.6408133523958,13.042085,197.5073,242.15463
