Date,Actual,Mean_Pred,Lower_90,Upper_90,Std_Pred,Lower_90_raw,Upper_90_raw
2023-03-27,26.47667694091797,19.77818,-52.2473425131016,91.80370085050394,2.8200529,15.364609,24.505514
2023-03-28,26.35592269897461,20.714447,-51.3110746603184,92.73996870328715,2.7982953,16.486786,24.981775
2023-03-29,26.928745269775394,20.660158,-51.36536352445414,92.6856798391514,2.4062185,16.910278,24.60713
2023-03-30,27.326929092407227,20.28439,-51.74113218595316,92.30991117765238,2.8356056,15.85072,24.732016
2023-03-31,27.720125198364254,19.949875,-52.075646803873084,91.97539655973246,2.6973193,15.405941,24.442993
2023-04-03,27.907739639282227,19.699604,-52.325917647378944,91.7251257162266,2.7105186,15.190105,24.247934
2023-04-04,27.396785736083984,21.102474,-50.92304746915629,93.12799589444926,2.7874641,16.590654,26.266403
2023-04-05,26.82595634460449,21.422523,-50.602998183267616,93.44804518033793,2.706951,16.925797,25.575624
2023-04-06,26.981639862060547,21.183836,-50.841685698526405,93.20935766507914,2.6474698,16.709673,25.402952
2023-04-10,27.52252960205078,20.922129,-51.10339300443461,92.94765035917094,2.8599312,15.86371,25.831787
2023-04-11,27.11337280273437,21.808722,-50.21680013944437,93.83424322416117,2.7825947,17.690912,26.44733
2023-04-12,26.440753936767575,22.113598,-49.911923811929725,94.13911955167582,2.7935476,17.44854,26.31866
2023-04-13,26.408811569213867,22.875412,-49.150109694498084,94.90093366910746,2.881441,18.087626,27.312902
2023-04-14,26.703208923339844,22.067774,-49.957747862833045,94.0932955007725,2.6443756,17.517422,26.370752
2023-04-17,26.946712493896484,21.125301,-50.90022032071879,93.15082304288676,2.8378341,16.699282,25.702234
2023-04-18,27.6103515625,21.624966,-50.40055601407816,93.65048734952738,2.7723248,17.094893,25.787199
2023-04-19,27.873809814453125,22.539019,-49.48650305082133,94.56454031278422,2.8549957,17.996208,26.829294
2023-04-20,27.04850006103516,22.458792,-49.566729949014686,94.48431341459086,2.958144,17.96958,27.80423
