Date,Actual,Mean_Pred,Lower_90,Upper_90,Std_Pred,Lower_90_raw,Upper_90_raw
2023-03-27,191.80999755859372,242.95857,176.16513628349648,309.7520084918941,23.53142,201.38602,279.01035
2023-03-28,189.19000244140625,242.42036,175.62692827568398,309.2138004840816,25.758774,201.05247,284.525
2023-03-29,193.8800048828125,243.56145,176.76801103935586,310.3548832477535,26.644325,200.54878,287.2775
2023-03-30,195.27999877929688,244.66245,177.86900896416054,311.4558811725582,25.829382,199.74016,284.58884
2023-03-31,207.4600067138672,240.96104,174.1676082073246,307.75448041572224,24.232683,197.48515,277.91187
2023-04-03,194.7700042724609,241.06119,174.2677516399418,307.85462384833943,27.847733,194.68225,282.9062
2023-04-04,192.5800018310547,238.9962,172.2027644573246,305.78963666572224,26.803183,194.1249,279.55423
2023-04-05,185.5200042724609,245.33705,178.54361528740273,312.13048749580037,28.847786,198.44324,289.30328
2023-04-06,185.05999755859372,241.75218,174.9587459026371,308.54561811103474,28.179134,194.67325,283.9121
2023-04-10,184.50999450683597,241.65639,174.86295122490273,308.44982343330037,24.635126,197.08524,277.52673
2023-04-11,186.7899932861328,239.04495,172.2515162883793,305.83838849677693,26.924202,188.52892,279.25555
2023-04-12,180.5399932861328,241.97496,175.1815242229496,308.76839643134724,27.02433,195.26149,283.99765
2023-04-13,185.8999938964844,240.07669,173.2832545696293,306.87012677802693,27.56196,192.79437,279.0906
2023-04-14,185.0,244.00656,177.21312517509804,310.7999973834957,25.737951,198.62231,283.43225
2023-04-17,187.0399932861328,243.83519,177.0417537151371,310.62862592353474,23.630098,205.56169,279.16382
2023-04-18,184.30999755859372,242.6032,175.80975908623086,309.3966312946285,25.963907,199.89876,285.3127
2023-04-19,180.58999633789065,241.39935,174.60591692314492,308.19278913154255,24.588459,203.60895,280.63565
2023-04-20,162.99000549316406,240.36613,173.57269853935586,307.1595707477535,26.253992,191.92314,279.92004
2023-04-21,165.0800018310547,242.91568,176.1222438274418,309.70911603583943,25.731138,196.97731,281.5975
2023-04-24,162.5500030517578,239.39635,172.6029109416996,306.18978315009724,25.571606,197.64888,281.33264
2023-04-25,160.6699981689453,239.02531,172.23187822685586,305.8187504352535,25.350166,198.53206,278.43695
2023-04-26,153.75,237.27466,170.48122209892617,304.0680943073238,24.890945,197.24611,273.65457
2023-04-27,160.19000244140625,238.60355,171.8101100383793,305.39698224677693,25.556355,194.97348,274.10446
2023-04-28,164.30999755859375,233.63025,166.83681291923867,300.4236851276363,26.72638,190.78825,278.53992
2023-05-01,161.8300018310547,234.49019,167.69675249443398,301.2836247028316,27.632956,186.06682,279.29996
2023-05-02,160.30999755859375,238.39314,171.59970659599648,305.1865788043941,26.519554,193.79817,281.28217
2023-05-03,160.61000061035156,236.5855,169.79205889091836,303.378931099316,26.074375,193.26526,273.64468
2023-05-04,161.1999969482422,239.09317,172.2997340618168,305.88660627021443,25.207819,192.2611,278.00497
2023-05-05,170.05999755859375,236.50536,169.7119197307621,303.29879193915974,26.342703,192.6946,276.55872
2023-05-08,171.7899932861328,238.7921,171.9986628948246,305.58553510322224,23.137724,198.70311,277.48477
2023-05-09,169.14999389648438,240.63512,173.8416804729496,307.42855268134724,24.56921,201.9288,280.003
2023-05-10,168.5399932861328,239.239,172.4455623088871,306.03243451728474,25.333723,196.20183,278.9731
2023-05-11,172.0800018310547,238.16304,171.36960405693398,304.9564762653316,25.747456,198.873,280.87064
2023-05-12,167.97999572753906,242.29721,175.50377458916054,309.0906467975582,24.649206,200.85089,283.18484
2023-05-15,166.35000610351562,239.94272,173.14928240166054,306.7361546100582,25.0852,192.16307,276.81442
2023-05-16,166.52000427246094,237.48566,170.69222063408242,304.27909284248005,26.515516,190.72215,272.61954
2023-05-17,173.86000061035156,241.58218,174.7887477336918,308.37561994208943,24.068293,203.31433,280.31638
2023-05-18,176.88999938964844,239.70485,172.91141313896523,306.49828534736287,25.978138,195.62834,279.4615
2023-05-19,180.13999938964844,237.66493,170.87149614677773,304.45836835517537,26.529606,195.4245,279.29367
2023-05-22,188.8699951171875,239.679,172.88556475029336,306.472436958691,25.390877,194.06065,278.12445
2023-05-23,185.7700042724609,240.96059,174.16715044365273,307.75402265205037,22.903803,204.8785,280.77878
2023-05-24,182.8999938964844,242.37112,175.5776881633793,309.16456037177693,24.264904,203.10185,281.9868
2023-05-25,184.47000122070312,242.05382,175.2603816448246,308.84725385322224,27.415522,196.60226,288.37518
2023-05-26,193.1699981689453,241.0923,174.29886431084023,307.88573651923787,27.003927,189.01372,280.7779
2023-05-30,201.16000366210938,241.6368,174.84335893974648,308.4302311481441,25.14433,201.15805,279.8421
2023-05-31,203.92999267578125,243.78932,176.99588579521523,310.58275800361287,25.943792,201.5793,284.4094
2023-06-01,207.5200042724609,243.26862,176.47517961845742,310.06205182685505,26.671652,194.94827,279.08246
2023-06-02,213.97000122070312,245.31032,178.51688188896523,312.10375409736287,24.887547,203.03162,284.55698
