train_loss,val_loss
0.003386162935822978,0.09938941026727359
0.09067983099804325,0.11556083584825198
0.16696006766761895,0.04109175192813078
0.1977196909720078,0.03578520411004623
0.23501421006706855,0.01525004671808953
0.18932449745652438,0.1269669197499752
0.10660609106222789,0.16917458549141884
0.09404560219802617,0.1868883048494657
0.08948707678603197,0.1970672309398651
0.08814806678856257,0.20447133481502533
0.08696263311031982,0.2088117947181066
0.08641406358866435,0.21238187700510025
0.0856654521981168,0.21496650576591492
0.08257916286540287,0.22441861778497696
0.08161499624407885,0.230093980828921
0.08188552182562286,0.232623981932799
0.08119067912317675,0.23388036588827768
0.08174880008165794,0.23486556857824326
0.08114774930732825,0.23494857301314673
0.08152190355058,0.23534143467744192
