train_loss,val_loss
0.03677301764212273,0.1511140689253807
0.16960862825659137,0.11603020628293355
0.18265814328980115,0.20667545994122824
0.15486621710092383,0.07294504810124636
0.133511434343678,0.14688128853837648
0.13738064526545782,0.03536103665828705
0.13538937018839298,0.08516622303674619
0.1475206313792754,0.023316264928629
0.1050221180388083,0.2548321026066939
0.13618924766261545,0.12602688372135162
0.12107436370570213,0.05568080209195614
0.12315299187105631,0.02849275415064767
0.09267926651605025,0.03090536625434955
0.07895770831533742,0.02594537443170945
0.07202469770951818,0.14565329936643442
0.06958457637854197,0.07537195831537247
0.060236855586818246,0.0731203102817138
0.05566976585477176,0.09052164169649284
0.05132041003175632,0.1059592068195343
0.04383028308102102,0.1546263520916303
0.0398222865295355,0.19156581908464432
0.033544398913228954,0.21321039025982222
0.030618216609582305,0.1738718505948782
