Model,RMSE,MAE,MAPE,R2,DA
"ARIMA(5,1,0)",33.28926477732345,26.75616124037047,14.299563243429088,0.3543797889804189,49.63882618510158
StackedGRU,41.822292199834166,37.6235568978765,17.320584617082737,0.1998951001107328,49.661399548532735
StackedLSTM,51.43013768635448,45.7836650509018,19.30378081365268,-0.3951244743817351,49.72911963882619
VanillaRNN,18.724479156875137,14.725489797248496,7.291892450371296,0.7644095830203929,49.61625282167043
