train_loss,val_loss
0.023574916428144747,0.045122809863338866
0.2333363346427817,0.01360302014897267
0.13158796385741206,0.02194885500163461
0.11886098439572379,0.039820676281427346
0.09988063624499503,0.045118223410099745
0.09801246559342232,0.05354758010556301
0.0921753210994346,0.05693218174080054
0.09012177546241286,0.05808786333849033
0.0894549712193785,0.06209579141189655
0.08844266973297905,0.06766016098360221
0.09353667388980587,0.1336287142088016
0.07179164875372036,0.13243435757855573
0.07242809914276693,0.1324857845902443
0.07293046523032158,0.13466276663045088
0.07191530162580656,0.1329347100108862
0.07098161531784744,0.13512122755249342
0.07213184673822036,0.13513433933258057
