Date,Actual,Predicted,Lower_90,Upper_90
2020-12-31,235.22332763671875,155.03297424316406,107.22372818179676,202.84222030453137
2021-01-04,243.2566680908203,155.15878295898438,107.34953689761707,202.96802902035168
2021-01-05,245.0366668701172,155.35684204101562,107.54759597964832,203.16608810238293
2021-01-06,251.9933319091797,155.56515502929688,107.75590896792957,203.37440109066418
2021-01-07,272.0133361816406,155.7718048095703,107.96255874820301,203.58105087093762
2021-01-08,293.3399963378906,156.03611755371094,108.22687149234363,203.84536361507824
2021-01-11,270.39666748046875,156.37705993652344,108.56781387515613,204.18630599789074
2021-01-12,283.14666748046875,156.6832733154297,108.87402725406238,204.492519376797
2021-01-13,284.8033447265625,156.87445068359375,109.06520462222645,204.68369674496105
2021-01-14,281.6666564941406,157.052734375,109.2434883136327,204.8619804363673
2021-01-15,275.3866577148437,157.1967315673828,109.38748550601551,205.00597762875012
2021-01-19,281.51666259765625,157.29214477539062,109.48289871402332,205.10139083675793
2021-01-20,283.4833374023437,157.34776306152344,109.53851700015613,205.15700912289074
2021-01-21,281.663330078125,157.4058837890625,109.5966377276952,205.2151298504298
2021-01-22,282.2133178710937,157.4593505859375,109.6501045245702,205.2685966473048
2021-01-25,293.6000061035156,157.49571228027344,109.68646621890613,205.30495834164074
2021-01-26,294.36334228515625,157.5345458984375,109.7252998370702,205.3437919598048
2021-01-27,288.0533447265625,157.6034393310547,109.79419326968738,205.412685392422
2021-01-28,278.4766540527344,157.66680908203125,109.85756302066395,205.47605514339855
2021-01-29,264.510009765625,157.69021606445312,109.88097000308582,205.49946212582043
2021-02-01,279.9366760253906,157.66578674316406,109.85654068179676,205.47503280453137
2021-02-02,290.92999267578125,157.59376525878906,109.78451919742176,205.40301132015637
2021-02-03,284.89666748046875,157.58367919921875,109.77443313785145,205.39292526058605
2021-02-04,283.3299865722656,157.61663818359375,109.80739212222645,205.42588424496105
2021-02-05,284.07666015625,157.63290405273438,109.82365799136707,205.44215011410168
2021-02-08,287.8066711425781,157.63909912109375,109.82985305972645,205.44834518246105
2021-02-09,283.1533203125,157.6485137939453,109.83926773257801,205.45775985531262
2021-02-10,268.2733459472656,157.66531372070312,109.85606765933582,205.47455978207043
2021-02-11,270.5533447265625,157.65830993652344,109.84906387515613,205.46755599789074
2021-02-12,272.0400085449219,157.59634399414062,109.78709793277332,205.40559005550793
2021-02-16,265.4066772460937,157.54010009765625,109.73085403628895,205.34934615902355
2021-02-17,266.04998779296875,157.4894561767578,109.68021011539051,205.29870223812512
2021-02-18,262.4599914550781,157.4257354736328,109.61648941226551,205.23498153500012
2021-02-19,260.4333190917969,157.3639373779297,109.55469131656238,205.173183439297
2021-02-22,238.1666717529297,157.29632568359375,109.48707962222645,205.10557174496105
2021-02-23,232.94667053222656,157.1932830810547,109.38403701968738,205.002529142422
2021-02-24,247.33999633789065,156.9980010986328,109.18875503726551,204.80724716000012
2021-02-25,227.4066619873047,156.8166961669922,109.00745010562488,204.6259422283595
2021-02-26,225.1666717529297,156.66441345214844,108.85516739078113,204.47365951351574
2021-03-01,239.47666931152344,156.44845581054688,108.63920974917957,204.25770187191418
2021-03-02,228.81333923339844,156.28309631347656,108.47385025210926,204.09234237484387
2021-03-03,217.73333740234372,156.17320251464844,108.36395645328113,203.98244857601574
2021-03-04,207.14666748046875,156.0010528564453,108.19180679507801,203.81029891781262
2021-03-05,199.3166656494141,155.74615478515625,107.93690872378895,203.55540084652355
2021-03-08,187.6666717529297,155.40756225585938,107.59831619449207,203.21680831722668
2021-03-09,224.52667236328125,155.0827178955078,107.27347183414051,202.89196395687512
2021-03-10,222.6866607666016,154.94174194335938,107.13249588199207,202.75098800472668
2021-03-11,233.1999969482422,154.9384307861328,107.12918472476551,202.74767684750012
2021-03-12,231.2433319091797,155.00762939453125,107.19838333316395,202.81687545589855
2021-03-15,235.97999572753903,155.1023406982422,107.29309463687488,202.9115867596095
2021-03-16,225.6266632080078,155.23211669921875,107.42287063785145,203.04136276058605
2021-03-17,233.9366607666016,155.3303680419922,107.52112198062488,203.1396141033595
2021-03-18,217.72000122070312,155.40391540527344,107.59466934390613,203.21316146664074
2021-03-19,218.2899932861328,155.407958984375,107.5987129230077,203.2172050457423
2021-03-22,223.3333282470703,155.3354034423828,107.52615738101551,203.14464950375012
2021-03-23,220.72000122070312,155.28350830078125,107.47426223941395,203.09275436214855
2021-03-24,210.08999633789065,155.24839782714844,107.43915176578113,203.05764388851574
2021-03-25,213.4633331298828,155.15565490722656,107.34640884585926,202.96490096859387
2021-03-26,206.23666381835935,155.07907104492188,107.26982498355457,202.88831710628918
2021-03-29,203.76333618164065,154.98777770996094,107.17853164859363,202.79702377132824
2021-03-30,211.8733367919922,154.8760528564453,107.06680679507801,202.68529891781262
