Date,Actual,Predicted,Lower_90,Upper_90
2020-12-31,212.47463989257807,194.43284606933594,186.01502161617475,202.85067052249713
2021-01-04,207.95616149902344,194.46617126464844,186.04834681148725,202.88399571780963
2021-01-05,208.1567230224609,193.72056579589844,185.30274134273725,202.13839024905963
2021-01-06,202.7593536376953,193.0498046875,184.6319802343388,201.4676291406612
2021-01-07,208.529296875,191.48251342773438,183.0646889745732,199.90033788089556
2021-01-08,209.7997894287109,191.21466064453125,182.79683619137006,199.63248509769244
2021-01-11,207.76510620117188,191.3943634033203,182.97653895015912,199.8121878564815
2021-01-12,205.31951904296875,191.2645263671875,182.8467019140263,199.6823508203487
2021-01-13,206.6664886474609,190.69287109375,182.2750466405888,199.1106955469112
2021-01-14,203.49493408203125,190.44241333007812,182.02458887691694,198.8602377832393
2021-01-15,203.14146423339844,189.6248016357422,181.206977182581,198.04262608890338
2021-01-19,206.76199340820312,188.82998657226562,180.41216211910444,197.2478110254268
2021-01-20,214.30877685546875,188.9303741455078,180.51254969234662,197.348198598669
2021-01-21,214.91061401367188,190.61602783203125,182.19820337887006,199.03385228519244
2021-01-22,215.8468017578125,192.18673706054688,183.7689126073857,200.60456151370806
2021-01-25,219.2666931152344,193.58421325683594,185.16638880367475,202.00203770999713
2021-01-26,221.9414978027344,195.16517639160156,186.74735193844037,203.58300084476275
2021-01-27,222.48602294921875,196.75039672851562,188.33257227535444,205.1682211816768
2021-01-28,228.2464141845703,198.01861572265625,189.60079126949506,206.43644017581744
2021-01-29,221.58807373046875,199.6361846923828,191.21836023922162,208.054009145544
2021-02-01,228.93418884277344,200.09962463378906,191.68180018062787,208.51744908695025
2021-02-02,228.80047607421875,201.14837646484375,192.73055201168256,209.56620091800494
2021-02-03,232.1344146728516,201.94247436523438,193.5246499120732,210.36029881839556
2021-02-04,231.18865966796875,202.84974670410156,194.43192225094037,211.26757115726275
2021-02-05,231.3701629638672,203.4414825439453,195.02365809078412,211.8593069971065
2021-02-08,231.6280975341797,203.8674774169922,195.449652963831,212.28530187015338
2021-02-09,232.86996459960935,204.17955017089844,195.76172571773725,212.59737462405963
2021-02-10,231.9623870849609,204.4959716796875,196.0781472265263,212.9137961328487
2021-02-11,233.5577850341797,204.65261840820312,196.23479395504194,213.0704428613643
2021-02-12,234.03543090820312,204.8793487548828,196.46152430172162,213.297173208044
2021-02-16,232.8031005859375,205.09210205078125,196.67427759762006,213.50992650394244
2021-02-17,233.81802368164065,205.153076171875,196.7352517187138,213.5709006250362
2021-02-18,233.4254608154297,205.26437377929688,196.8465493261357,213.68219823245806
2021-02-19,230.7253570556641,205.31382751464844,196.89600306148725,213.73165196780963
2021-02-22,224.53997802734372,205.1268768310547,196.7090523778935,213.54470128421588
2021-02-23,223.35275268554688,204.4039306640625,195.9861062109013,212.8217551172237
2021-02-24,224.57830810546875,203.6219940185547,195.2041695653935,212.03981847171588
2021-02-25,219.2546844482422,203.08294677734375,194.66512232418256,211.50077123050494
2021-02-26,222.50054931640625,202.1143341064453,193.69650965328412,210.5321585596065
2021-03-01,226.8666839599609,201.68130493164062,193.26348047847944,210.0991293848018
2021-03-02,223.92721557617188,201.89906311035156,193.48123865719037,210.31688756351275
2021-03-03,217.88546752929688,201.85165405273438,193.4338295995732,210.26947850589556
2021-03-04,217.09075927734372,201.13426208496094,192.71643763179975,209.55208653812213
2021-03-05,221.75369262695312,200.3721160888672,191.954291635706,208.78994054202838
2021-03-08,217.7227020263672,200.3196563720703,191.90183191890912,208.7374808252315
2021-03-09,223.841064453125,199.84991455078125,191.43209009762006,208.26773900394244
2021-03-10,222.538818359375,200.24984741210938,191.8320229589482,208.66767186527056
2021-03-11,227.04861450195312,200.48487854003906,192.06705408687787,208.90270299320025
2021-03-12,225.7273101806641,201.2014923095703,192.78366785640912,209.6193167627315
2021-03-15,224.8272399902344,201.64463806152344,193.22681360836225,210.06246251468463
2021-03-16,227.60397338867188,201.8731231689453,193.45529871578412,210.2909476221065
2021-03-17,226.9623870849609,202.29885864257812,193.88103418941694,210.7166830957393
2021-03-18,220.91116333007807,202.56039428710938,194.1425698339482,210.97821874027056
2021-03-19,220.5568389892578,202.11080932617188,193.6929848730107,210.52863377933306
2021-03-22,225.9570770263672,201.60499572753906,193.18717127437787,210.02282018070025
2021-03-23,227.47946166992188,201.76759338378906,193.34976893062787,210.18541783695025
2021-03-24,225.4496307373047,202.12884521484375,193.71102076168256,210.54666966800494
2021-03-25,222.4622344970703,202.2431640625,193.8253396093388,210.6609885156612
2021-03-26,226.4262237548828,201.9981689453125,193.5803444921513,210.4159933984737
2021-03-29,225.2389678955078,202.18392944335938,193.7661049901982,210.60175389652056
2021-03-30,221.9930725097656,202.23040771484375,193.81258326168256,210.64823216800494
2021-03-31,225.7464599609375,201.91421508789062,193.49639063472944,210.3320395410518
2021-04-01,232.04666137695312,202.03176879882812,193.61394434566694,210.4495932519893
2021-04-05,238.48098754882807,222.52761840820312,214.36814486894505,230.6870919474612
2021-04-06,237.3224334716797,222.89515686035156,214.7356833210935,231.05463039960964
2021-04-07,239.2756805419922,223.2162322998047,215.05675876054661,231.37570583906276
2021-04-08,242.4832763671875,223.50161743164062,215.34214389238255,231.6610909708987
2021-04-09,244.9727478027344,223.7792205810547,215.61974704179661,231.93869412031276
2021-04-12,245.0301513671875,224.03944396972656,215.8799704304685,232.19891750898464
2021-04-13,247.50050354003903,224.26473999023438,216.1052664509763,232.42421352949245
2021-04-14,244.72381591796875,224.55288696289062,216.39341342363255,232.7123605021487
2021-04-15,248.4675750732422,224.74302673339844,216.58355319414036,232.9025002726565
2021-04-16,249.6548767089844,224.92742919921875,216.76795565996068,233.08690273847682
2021-04-19,247.7398223876953,225.10211181640625,216.94263827714818,233.26158535566432
