Date,Actual,Mean_Pred,Lower_90,Upper_90,Std_Pred,Lower_90_raw,Upper_90_raw
2023-03-27,191.80999755859372,186.06996,165.3151989436794,206.82472415202372,33.224255,122.88363,228.04556
2023-03-28,189.19000244140625,181.30586,160.55109982258566,202.06062503092997,33.925205,122.92863,226.95267
2023-03-29,193.8800048828125,190.51196,169.75720028645284,211.26672549479716,32.038193,125.75776,232.65971
2023-03-30,195.27999877929688,189.77777,169.0230083919216,210.5325336002659,29.372772,139.39124,238.03513
2023-03-31,207.4600067138672,189.4494,168.6946392512966,210.2041644596409,30.371067,132.20557,236.49756
2023-04-03,194.7700042724609,196.88193,176.12716488606222,217.63669009440653,31.015018,143.59265,237.43819
2023-04-04,192.5800018310547,194.27507,173.52030758625753,215.02983279460184,31.194359,131.65823,237.23145
2023-04-05,185.5200042724609,192.60011,171.8453503108669,213.35487551921122,32.023766,136.14317,232.94847
2023-04-06,185.05999755859372,190.21434,169.45957760578878,210.9691028141331,31.91825,131.527,232.30305
2023-04-10,184.50999450683597,187.80241,167.04765133625753,208.55717654460184,32.475796,126.67837,230.98727
2023-04-11,186.7899932861328,184.73537,163.9806042171169,205.49012942546122,35.54724,121.997574,228.86919
2023-04-12,180.5399932861328,187.17567,166.4209118343044,207.93043704264872,28.129457,133.84421,225.86365
2023-04-13,185.8999938964844,185.10246,164.34770016438253,205.85722537272684,30.417501,131.70035,225.29393
2023-04-14,185.0,184.01773,163.26296810871847,204.77249331706278,32.63128,129.10844,227.97739
2023-04-17,187.0399932861328,181.992,161.2372417903591,202.7467669987034,31.756609,122.13948,223.93132
2023-04-18,184.30999755859372,190.58641,169.83164791828878,211.3411731266331,28.989313,134.34042,229.3048
2023-04-19,180.58999633789065,186.00189,165.2471294856716,206.7566546940159,31.264679,125.09099,224.30463
2023-04-20,162.99000549316406,187.6898,166.93504147297628,208.4445666813206,29.61216,136.6442,226.58972
2023-04-21,165.0800018310547,177.57352,156.81875424153097,198.32827944987528,33.894043,119.95156,222.79083
2023-04-24,162.5500030517578,173.5198,152.76504330403097,194.27456851237528,29.368711,120.23853,214.54666
2023-04-25,160.6699981689453,169.7175,148.96273617512472,190.47226138346903,31.666567,109.48586,209.79613
2023-04-26,153.75,172.24019,151.48542599446066,192.99495120280497,28.365005,118.59132,208.6494
2023-04-27,160.19000244140625,169.14897,148.39420895344503,189.90373416178934,27.52835,124.88696,207.63895
2023-04-28,164.30999755859375,167.70128,146.94651608235128,188.4560412906956,33.02857,116.44856,208.65274
2023-05-01,161.8300018310547,170.2391,149.48434262043722,190.99386782878153,27.468847,118.19525,206.38258
2023-05-02,160.30999755859375,167.97829,147.2235241389919,188.73304934733622,30.825815,112.435524,208.82846
2023-05-03,160.61000061035156,169.87923,149.12446408039816,190.63398928874247,31.937351,115.39503,211.0674
2023-05-04,161.1999969482422,170.9823,150.22753720051534,191.73706240885966,30.890516,119.21931,213.09059
2023-05-05,170.05999755859375,167.82706,147.07229428059347,188.58181948893778,27.474995,116.04972,205.5726
2023-05-08,171.7899932861328,174.90234,154.14758114582784,195.65710635417216,31.556454,116.51852,216.69167
2023-05-09,169.14999389648438,172.5148,151.76003842121847,193.26956362956278,32.125782,116.58525,219.01598
2023-05-10,168.5399932861328,175.12595,154.37118344074972,195.88070864909403,29.121586,123.11228,216.67596
2023-05-11,172.0800018310547,172.16782,151.41305355793722,192.92257876628153,32.24844,114.921,217.6216
2023-05-12,167.97999572753906,173.10695,152.3521862483669,193.86171145671122,32.897667,114.81837,217.90309
2023-05-15,166.35000610351562,173.52222,152.76745419270284,194.27697940104716,31.886097,112.699745,214.27315
2023-05-16,166.52000427246094,178.39072,157.63595394856222,199.14547915690653,30.79703,119.18516,219.04561
2023-05-17,173.86000061035156,173.36053,152.6057720637966,194.1152972721409,32.96548,103.59577,215.11182
2023-05-18,176.88999938964844,176.39056,155.6358013606716,197.1453265690159,31.550983,118.9951,218.31918
2023-05-19,180.13999938964844,179.38554,158.63078121907003,200.14030642741434,31.582502,115.2843,217.66289
2023-05-22,188.8699951171875,178.88937,158.13461117512472,199.64413638346903,31.303757,116.471275,218.15814
2023-05-23,185.7700042724609,188.73706,167.98229794270284,209.49182315104716,29.048586,136.86253,227.22415
2023-05-24,182.8999938964844,181.42836,160.6735973811794,202.18312258952372,30.936285,130.51782,222.5959
2023-05-25,184.47000122070312,187.13342,166.37866024739034,207.88818545573466,30.592033,131.65808,225.51382
2023-05-26,193.1699981689453,187.54475,166.78999142414816,208.29951663249247,32.728817,127.937645,227.57101
2023-05-30,201.16000366210938,187.9849,167.23013119465597,208.73965640300028,30.193789,132.17297,230.67503
