Date,Actual,Predicted,Lower_90,Upper_90
2020-12-31,59.97079086303711,58.29899597167969,55.02340003869255,61.574591904666825
2021-01-04,59.099365234375,58.30510711669922,55.02951118371208,61.580703049686356
2021-01-05,58.36698532104492,58.167476654052734,54.8918807210656,61.44307258703987
2021-01-06,58.22739791870117,57.91586685180664,54.6402709188195,61.19146278479378
2021-01-07,58.69269561767578,57.6879768371582,54.412380904171066,60.96357277014534
2021-01-08,58.98118209838867,57.61656951904297,54.34097358605583,60.892165452030106
2021-01-11,58.65546798706055,57.63950729370117,54.363911360714035,60.91510322668831
2021-01-12,58.08781051635742,57.605010986328125,54.32941505334099,60.88060691931526
2021-01-13,57.75279235839844,57.4625358581543,54.18693992516716,60.738131791141434
2021-01-14,57.32472610473633,57.27766036987305,54.00206443688591,60.553256302860184
2021-01-15,57.49222183227539,57.04323959350586,53.76764366051872,60.318835526493
2021-01-19,57.036231994628906,56.904998779296875,53.62940284630974,60.18059471228401
2021-01-20,57.28750228881836,56.71150588989258,53.43590995690544,59.987101822879715
2021-01-21,56.9617805480957,56.626182556152344,53.350586623165206,59.90177848913948
2021-01-22,56.17078399658203,56.500885009765625,53.22528907677849,59.77648094275276
2021-01-25,56.67329406738281,56.21263885498047,52.93704292199333,59.488234787967606
2021-01-26,57.510841369628906,56.11513900756836,52.83954307458122,59.3907349405555
2021-01-27,58.20878601074219,56.27370834350586,52.99811241051872,59.549304276493
2021-01-28,56.97109222412109,56.57383346557617,53.298237532589035,59.84942939856331
2021-01-29,56.23591995239258,56.514892578125,53.23929664513786,59.79048851111214
2021-02-01,57.24096298217773,56.2567138671875,52.98111793420036,59.53230980017464
2021-02-02,58.04127883911133,56.294517517089844,53.018921584102706,59.57011345007698
2021-02-03,57.85516357421875,56.53683853149414,53.261242598507,59.81243446448128
2021-02-04,58.95326614379883,56.6853141784668,53.40971824547966,59.960910111453934
2021-02-05,59.185916900634766,57.02216720581055,53.74657127282341,60.297763138797684
2021-02-08,58.729923248291016,57.31779861450195,54.042202681514816,60.59339454748909
2021-02-09,59.25106048583984,57.43168258666992,54.156086653682785,60.70727851965706
2021-02-10,58.878814697265625,57.5915641784668,54.31596824547966,60.867160111453934
2021-02-11,58.34837341308594,57.63662338256836,54.36102744958122,60.9122193155555
2021-02-12,58.70200729370117,57.55203628540039,54.27644035241325,60.82763221838753
2021-02-16,57.827247619628906,57.544776916503906,54.26918098351677,60.820372849491044
2021-02-17,57.78071594238281,57.36859130859375,54.09299537560661,60.64418724158089
2021-02-18,57.7620964050293,57.2114143371582,53.935818404171066,60.48701027014534
2021-02-19,56.8873405456543,57.0942268371582,53.818630904171066,60.36982277014534
2021-02-22,59.9769172668457,56.81808853149414,53.542492598507,60.09368446448128
2021-02-23,60.02344131469727,57.2777099609375,54.00211402795036,60.55330589392464
2021-02-24,60.20956802368164,57.660804748535156,54.38520881554802,60.936400681522294
2021-02-25,60.76792144775391,57.95500946044922,54.67941352746208,61.230605393436356
2021-02-26,60.03275680541992,58.24276351928711,54.96716758629997,61.51835945227425
2021-03-01,61.57755279541016,58.32062911987305,55.04503318688591,61.596225052860184
2021-03-02,62.03354263305664,58.59476852416992,55.319172591182785,61.87036445715706
2021-03-03,62.26617813110352,58.86604690551758,55.59045097253044,62.141642838504715
2021-03-04,61.05640411376953,59.08300018310547,55.80740425011833,62.358596116092606
2021-03-05,65.11380767822266,59.065608978271484,55.79001304528435,62.34120491125862
2021-03-08,67.15180969238281,59.5313720703125,56.25577613732536,62.80696800329964
2021-03-09,67.5985107421875,60.07695770263672,56.80136176964958,63.352553635623856
2021-03-10,67.1146011352539,60.48055648803711,57.20496055504997,63.75615242102425
2021-03-11,62.73149108886719,60.69545364379883,57.41985771081169,63.971049576785965
2021-03-12,62.498836517333984,60.46625900268555,57.19066306969841,63.741854935672684
2021-03-15,63.02928924560547,60.180686950683594,56.905091017696456,63.45628288367073
2021-03-16,62.21035003662109,60.02370071411133,56.74810478112419,63.299296647098465
2021-03-17,61.62408447265625,59.8402099609375,56.56461402795036,63.11580589392464
2021-03-18,62.10798263549805,59.6309700012207,56.355374068233566,62.90656593420784
2021-03-19,61.66130065917969,59.53206253051758,56.25646659753044,62.807658463504715
2021-03-22,61.717132568359375,59.42158126831055,56.14598533532341,62.697177201297684
2021-03-23,62.601200103759766,59.34941482543945,56.073818892452316,62.62501075842659
2021-03-24,62.19173812866211,59.41502380371094,56.1394278707238,62.690619736698075
2021-03-25,63.86681365966797,59.427398681640625,56.15180274865349,62.70299461462776
2021-03-26,65.37438201904297,59.62579345703125,56.35019752404411,62.90138939001839
2021-03-29,66.19329833984375,59.93644714355469,56.66085121056755,63.212043076541825
2021-03-30,65.653564453125,60.23892593383789,56.96333000085075,63.51452186682503
2021-03-31,65.29991912841797,60.39866256713867,57.123066634151535,63.67425850012581
2021-04-01,66.82611083984375,60.45694351196289,57.18134757897575,63.73253944495003
2021-04-05,69.01300048828125,61.963348388671875,58.65043333063876,65.27626344670499
2021-04-06,69.12467956542969,62.08888244628906,58.77596738825595,65.40179750432218
2021-04-07,69.22749328613281,62.212100982666016,58.8991859246329,65.52501604069913
