Date,Actual,Mean_Pred,Lower_90,Upper_90,Std_Pred,Lower_90_raw,Upper_90_raw
2023-03-27,201.2606201171875,189.79672,-5.476234998273412,385.06967982249216,7.095265,176.39569,199.96135
2023-03-28,199.117431640625,189.95274,-5.32021388010935,385.2257009406562,7.0353327,179.17867,201.67691
2023-03-29,203.7510681152344,190.36926,-4.903694715070287,385.6422201056953,7.5550857,178.36845,202.76382
2023-03-30,206.2216796875,190.71443,-4.558525647687475,385.9873891730781,8.017228,177.04732,203.50424
2023-03-31,210.2897491455078,190.10042,-5.172539319562475,385.3733755012031,8.171025,176.10115,201.4552
2023-04-03,211.41098022460935,190.37938,-4.89357813792185,385.6523366828437,7.520111,178.59557,202.23572
2023-04-04,213.048095703125,190.96819,-4.3047719855781,386.2411428351875,7.273491,177.68707,202.38457
2023-04-05,209.83331298828122,190.41231,-4.860649671124975,385.6852651496406,7.3931246,178.94022,202.81721
2023-04-06,214.4173889160156,190.9109,-4.362053479718725,386.18386134104685,7.5720973,178.14664,202.26126
2023-04-10,213.07786560058597,190.55971,-4.713249768781225,385.83266505198435,7.080591,178.60722,201.63402
2023-04-11,212.18490600585935,190.57228,-4.700676526593725,385.84523829417185,7.1149855,178.76196,202.27634
2023-04-12,212.33370971679688,190.1978,-5.0751577277656,385.470757093,7.3553567,177.17432,202.1066
2023-04-13,218.63427734375,191.60216,-3.6707998176093497,386.8751150031562,7.497492,178.90453,203.25613
2023-04-14,219.7653961181641,190.6253,-4.647652234601537,385.89826258616404,6.9360743,179.70264,202.39145
2023-04-17,217.15586853027344,191.4483,-3.824654187726537,386.72126063303904,7.5032244,178.57922,203.05681
2023-04-18,216.1934356689453,191.60207,-3.6708913703437247,386.87502345042185,7.1542597,178.78731,201.99236
2023-04-19,214.02047729492188,191.99118,-3.281776990460912,387.26413783030466,6.9371734,179.30936,202.50948
2023-04-20,211.41098022460935,191.62633,-3.6466298957343497,386.8992849250312,7.6323,179.09888,203.4911
2023-04-21,211.2323455810547,190.8143,-4.458656873273412,386.08725794749216,7.0722847,179.18207,201.5462
2023-04-24,211.1331329345703,191.2165,-4.056450452374975,386.4894643683906,7.535908,179.56485,203.10541
2023-04-25,205.93394470214844,191.53923,-3.7337270637030997,386.8121877570625,7.032133,179.25063,202.15056
2023-04-26,207.76954650878903,190.78635,-4.486610974835912,386.05930384592966,7.0509863,178.64868,202.8572
2023-04-27,236.70248413085935,191.16435,-4.1086049933906,386.437309827375,7.3965416,178.59532,203.26396
2023-04-28,238.44879150390625,191.53339,-3.739571179914037,386.80634364085154,7.1670403,179.73372,202.852
2023-05-01,241.2864990234375,192.26784,-3.0051198859687247,387.54079493479685,6.8733726,180.089,202.33699
2023-05-02,237.377197265625,192.02211,-3.2508474250312247,387.29506739573435,7.286396,178.01009,203.43484
2023-05-03,235.1844024658203,192.96008,-2.312874402570287,388.2330404181953,7.558574,179.73595,204.34363
2023-05-04,231.70172119140625,192.56073,-2.712227429914037,387.83368739085154,7.468213,180.04776,205.15503
2023-05-05,230.96749877929688,193.22835,-2.0446096320624747,388.5013051887031,7.5042777,180.5879,204.77411
2023-05-08,231.4537048339844,192.92209,-2.350868787335912,388.19504603342966,7.3395696,180.79788,204.98189
2023-05-09,231.5528717041016,192.8325,-2.4404531379218497,388.1054616828437,7.310581,180.82791,206.14307
2023-05-10,231.26515197753906,191.17764,-4.095314588117162,386.4506002326484,7.735339,177.93547,203.2885
2023-05-11,233.9540405273437,191.19212,-4.08083399729685,386.4650808234687,6.9989524,179.55814,202.28609
2023-05-12,231.9894561767578,191.20161,-4.071343030499975,386.4745717902656,7.341482,179.03761,202.22003
2023-05-15,237.0001678466797,192.294,-2.978951062726537,387.56696375803904,7.835183,179.05034,204.2145
2023-05-16,236.96047973632807,192.5623,-2.7106557746405997,387.835259046125,7.063438,181.50595,203.94363
2023-05-17,240.60186767578125,192.25063,-3.0223318000312247,387.52358302073435,7.462058,180.91278,204.21837
2023-05-18,244.92794799804688,192.22028,-3.052681531476537,387.49323328928904,7.476843,180.10587,204.20024
2023-05-19,243.72735595703125,193.1935,-2.0794607062812247,388.46645411448435,6.937664,182.05823,203.95296
2023-05-22,246.386474609375,193.28522,-1.9877401252265372,388.55817469553904,7.2762628,181.92984,204.45575
2023-05-23,244.8188018798828,193.45729,-1.8156667609687247,388.73024805979685,7.295227,180.64966,204.51288
2023-05-24,247.26959228515625,192.68721,-2.5857473273749747,387.9601674933906,7.5459538,179.80585,204.3505
2023-05-25,250.72247314453125,192.46927,-2.803688611554662,387.7422262092109,6.9680166,180.6991,203.07117
2023-05-26,259.99969482421875,192.37944,-2.8935171027655997,387.652397718,6.8508973,181.25883,203.44666
2023-05-30,260.47589111328125,192.59358,-2.6793752570624747,387.8665395637031,7.285322,180.14409,204.05894
2023-05-31,262.6588439941406,193.109,-2.1639638801093497,388.3819509406562,7.085963,181.64127,204.92618
2023-06-01,270.4873046875,192.43744,-2.835518445539037,387.71039637522654,7.551108,179.12453,204.81017
2023-06-02,270.4873046875,193.056,-2.216957654523412,388.32895716624216,7.881101,179.16588,205.24785
2023-06-05,269.2768859863281,193.65184,-1.6211172004218497,388.9247976203437,6.6404886,182.50166,202.74997
2023-06-06,269.0089416503906,193.63034,-1.6426168342109122,388.90329798655466,7.621914,179.5414,205.74512
2023-06-07,261.5474853515625,193.71431,-1.5586477179999747,388.9872671027656,7.718868,181.20328,205.94583
2023-06-08,262.5198669433594,193.58618,-1.6867757697577872,388.8591390510078,7.2363486,180.27939,203.68277
2023-06-09,262.88702392578125,193.5186,-1.7543569465155997,388.79155787425,7.1763206,182.95273,205.48431
2023-06-12,268.93951416015625,194.11241,-1.1605459113593497,389.3853689094062,7.103364,179.76375,203.51244
2023-06-13,269.2074279785156,193.01935,-2.253609265851537,388.29230555491404,7.118066,179.5601,203.93297
2023-06-14,271.2216186523437,192.99455,-2.2784047980780997,388.2675100226875,7.0797353,182.24956,203.84549
2023-06-15,279.6355895996094,193.57878,-1.6941762824530997,388.8517385383125,7.1804194,181.5212,204.90012
2023-06-16,278.81207275390625,194.18982,-1.0831380744452872,389.4627767463203,7.635127,181.92354,206.14236
2023-06-20,282.1161193847656,194.69278,-0.5801778693671622,389.9657369513984,7.086761,181.08629,205.86563
2023-06-21,279.4471130371094,192.61208,-2.6608816047187247,387.88503321604685,7.568748,179.92586,204.35721
2023-06-22,282.661865234375,192.9692,-2.3037649054999747,388.2421499152656,7.3310914,180.29086,204.0889
2023-06-23,286.4818115234375,193.59131,-1.6816488166327872,388.8642660041328,7.8668313,181.54672,204.44122
2023-06-26,276.3017272949219,193.87193,-1.4010244269843497,389.1448903937812,7.337761,181.24062,205.94998
2023-06-27,284.81494140625,193.1312,-2.141762342023412,388.40415247874216,7.126105,180.93152,203.87366
2023-06-28,283.0686950683594,193.881,-1.3919607062812247,389.15395411448435,7.134601,181.86896,205.2509
2023-06-29,279.3379211425781,193.3247,-1.9482503791327872,388.5976644416328,7.682694,180.68912,205.61359
2023-06-30,284.7454528808594,193.16454,-2.1084218879218497,388.4374929328437,7.352323,178.68001,204.32884
2023-07-03,283.7929077148437,194.03497,-1.2379842658515372,389.30793055491404,6.775489,182.90033,205.09355
2023-07-05,292.0779113769531,194.01147,-1.2614828010077872,389.2844320197578,7.397605,182.3074,205.92004
2023-07-06,289.7164306640625,194.40941,-0.8635488410468497,389.6823659797187,7.4420056,182.0397,206.70782
2023-07-07,288.26788330078125,194.00648,-1.2664724250312247,389.27944239573435,7.133733,181.04895,205.39868
2023-07-10,291.8100280761719,194.3963,-0.8766561408515372,389.66925867991404,7.2041926,182.8375,204.95132
2023-07-11,295.9674072265625,194.0602,-1.2127614875312247,389.33315333323435,7.1830034,182.20041,203.83395
2023-07-12,306.9313659667969,194.31879,-0.9541707892890372,389.59174403147654,7.07751,182.93,205.13416
2023-07-13,310.9696960449219,194.63971,-0.6332479377265372,389.91266688303904,7.1430707,183.15492,206.76703
2023-07-14,306.46499633789057,194.2314,-1.0415578742499747,389.5043569465156,7.041531,182.38889,204.93958
2023-07-17,308.201416015625,194.27815,-0.9948049445624747,389.5511098762031,7.367354,182.11418,206.1298
2023-07-18,309.6202697753906,194.42667,-0.8462911506171622,389.6996236701484,7.114739,183.5432,205.35568
2023-07-19,313.5494384765625,195.08311,-0.1898427863593497,390.3560720344062,7.2111125,183.02972,205.89043
2023-07-20,300.1644287109375,194.90837,-0.3645864387030997,390.1813283820625,6.914512,182.48607,205.4698
2023-07-21,291.9687805175781,194.60696,-0.6659932990546622,389.8799215217109,7.0537834,182.31746,204.54874
2023-07-24,289.33941650390625,193.26288,-2.010078992414037,388.53583582835154,7.0645995,181.66364,204.8354
2023-07-25,292.1771240234375,193.61874,-1.6542135138984122,388.89170130686716,7.6155663,180.46603,204.96083
2023-07-26,296.2452697753906,194.30615,-0.9668050666327872,389.5791097541328,7.2290435,183.32191,206.22931
2023-07-27,309.2828674316406,193.39418,-1.8787771125312247,388.66713770823435,7.3040757,181.0183,204.49783
2023-07-28,322.94570922851557,194.33641,-0.9365468879218497,389.6093679328437,7.6262302,181.1499,206.2129
2023-07-31,316.1192626953125,194.5588,-0.7141500373359122,389.83176478342966,7.6184816,181.1442,206.25085
2023-08-01,320.197265625,192.65627,-2.6166921515937247,387.92922266917185,7.5444083,179.65079,204.21944
2023-08-02,311.8627014160157,194.16238,-1.1105733771796622,389.4353414435859,7.487476,179.60133,205.80452
2023-08-03,310.7513732910156,193.74579,-1.5271688361640372,389.01874598460154,7.343795,178.89442,204.64268
2023-08-04,308.31054687500006,194.1381,-1.1348501105780997,389.4110647101875,8.005711,179.71092,206.18529
2023-08-07,314.0951538085937,195.55879,0.2858347038750253,390.8317495246406,6.9740753,182.85313,206.85043
2023-08-08,310.2056579589844,194.68048,-0.5924764533515372,389.95343836741404,7.148403,183.62724,204.87076
2023-08-09,302.8335266113281,194.2199,-1.0530630012030997,389.4928518195625,7.6001287,181.30067,206.03984
2023-08-10,303.3594055175781,193.87212,-1.4008413215155997,389.14507349925,7.8738856,180.83495,206.21172
2023-08-11,299.29132080078125,194.11108,-1.1618734260077872,389.3840413947578,7.144702,182.63924,206.38887
2023-08-14,303.805908203125,193.17294,-2.100014295148412,388.44590052561716,7.259421,181.29341,203.72029
2023-08-15,299.5989074707031,193.72498,-1.5479818244452872,388.9979329963203,6.7580314,182.91711,205.73856
2023-08-16,291.99853515625,194.27441,-0.9985433478827872,389.5473714728828,7.1411233,181.85219,205.48196
