Date,Actual,Predicted,Lower_90,Upper_90
2020-12-31,271.0331115722656,278.083740234375,264.30831899830173,291.85916147044827
2021-01-04,266.8459777832031,278.1343994140625,264.35897817798923,291.90982065013577
2021-01-05,268.8601379394531,277.5862121582031,263.81079092212985,291.3616333942764
2021-01-06,261.2597351074219,277.3240966796875,263.54867544361423,291.09951791576077
2021-01-07,266.64752197265625,276.02716064453125,262.251739408458,289.8025818806045
2021-01-08,265.486572265625,275.638671875,261.86325063892673,289.41409311107327
2021-01-11,254.8401641845703,275.28118896484375,261.5057677287705,289.056610200917
2021-01-12,249.1349029541016,273.2944030761719,259.5189818400986,287.06982431224515
2021-01-13,249.6806488037109,270.3543701171875,256.57894888111423,284.12979135326077
2021-01-14,243.72735595703125,267.850341796875,254.07492056080176,281.62576303294827
2021-01-15,249.4028167724609,264.6434631347656,250.86804189869238,278.4188843708389
2021-01-19,259.0669860839844,263.2500305175781,249.47460928150488,277.0254517536514
2021-01-20,265.39727783203125,264.4531555175781,250.67773428150488,278.2285767536514
2021-01-21,270.745361328125,267.01104736328125,253.235626127208,280.7864685993545
2021-01-22,272.3625793457031,270.1322937011719,256.3568724650986,283.90771493724515
2021-01-25,275.8453063964844,272.8262634277344,259.0508421916611,286.60168466380765
2021-01-26,279.8538513183594,275.3263244628906,261.55090322681735,289.1017456989639
2021-01-27,270.0209655761719,277.729736328125,263.95431509205173,291.50515756419827
2021-01-28,262.9366455078125,278.2010498046875,264.42562856861423,291.97647104076077
2021-01-29,256.31854248046875,277.237060546875,263.46163931080173,291.01248178294827
2021-02-01,259.96990966796875,275.1172180175781,261.34179678150485,288.8926392536514
2021-02-02,265.0003662109375,273.7094421386719,259.9340209025986,287.48486337474515
2021-02-03,264.57379150390625,273.51312255859375,259.7377013225205,287.288543794667
2021-02-04,264.4149780273437,273.4986267089844,259.7232054729111,287.27404794505765
2021-02-05,266.0124816894531,273.5285339355469,259.7531126994736,287.30395517162015
2021-02-08,264.5043640136719,273.8241271972656,260.04870596119235,287.5995484333389
2021-02-09,267.3519592285156,273.8657531738281,260.09033193775485,287.6411744099014
2021-02-10,269.7531433105469,274.3194885253906,260.54406728931735,288.0949097614639
2021-02-11,268.2846069335937,275.1039733886719,261.3285521525986,288.87939462474515
2021-02-12,268.393798828125,275.5485534667969,261.7731322307236,289.32397470287015
2021-02-16,271.8367614746094,275.86865234375,262.09323110767673,289.64407357982327
2021-02-17,271.4398803710937,276.5967712402344,262.8213500041611,290.37219247630765
2021-02-18,267.2924499511719,277.1607971191406,263.38537588306735,290.9362183552139
2021-02-19,259.5234069824219,276.9759826660156,263.20056142994235,290.7514039020889
2021-02-22,258.3029479980469,275.53076171875,261.75534048267673,289.30618295482327
2021-02-23,263.7899475097656,273.90203857421875,260.1266173381455,287.677459810292
2021-02-24,262.251953125,273.44384765625,259.66842642017673,287.21926889232327
2021-02-25,252.70687866210935,273.01934814453125,259.243926908458,286.7947693806045
2021-02-26,255.6140594482422,271.06072998046875,257.2853087443955,284.836151216542
2021-03-01,262.84735107421875,269.76312255859375,255.9877013225205,283.538543794667
2021-03-02,256.9833374023437,270.1490478515625,256.37362661548923,283.92446908763577
2021-03-03,253.4212951660156,269.6669616699219,255.89154043384863,283.44238290599515
2021-03-04,255.63397216796875,268.5164489746094,254.74102773853613,282.29187021068265
2021-03-05,262.2221984863281,267.9280090332031,254.15258779712988,281.7034302692764
2021-03-08,253.3220672607422,268.7852478027344,255.00982656666113,282.56066903880765
2021-03-09,263.6708679199219,268.0171813964844,254.24176016041113,281.79260263255765
2021-03-10,262.8373718261719,269.1343994140625,255.35897817798926,282.90982065013577
2021-03-11,271.7474670410156,270.1037902832031,256.32836904712985,283.8792115192764
